State,Constituency,Candidate,Party,Total Votes,% of Votes,Result
Jharkhand,Rajmahal,MAHESH PAHARIYA,Independent,14978,1.23,Lost
Jharkhand,Rajmahal,AJIT MARANDI,Rashtriya Jansambhavna Party,11251,0.92,Lost
Jharkhand,Rajmahal,SEBASTION HEMBROM,Independent,9493,0.78,Lost
Jharkhand,Rajmahal,MARIYAM MARANDI,Bahujan Samaj Party,8259,0.68,Lost
Jharkhand,Rajmahal,PAUL SOREN,All India Majlis-E-Ittehadul Muslimeen,7902,0.65,Lost
Jharkhand,Rajmahal,DIPA TUDU,Independent,6856,0.56,Lost
Jharkhand,Rajmahal,KHALIFA KISKU,Peoples Party of India (Democratic),4107,0.34,Lost
Jharkhand,Rajmahal,VINOD KUMAR MANDAL,Lokhit Adhikar Party,3809,0.31,Lost
Jharkhand,Rajmahal,MUNSHI KISKU,Navyug Pragatisheel Morcha,2779,0.23,Lost
Jharkhand,Rajmahal,LILI HANSDA,Samata Party,2689,0.22,Lost
Jharkhand,Rajmahal,NOTA,None of the Above,18217,1.5,Lost
Jharkhand,Ranchi,SANJAY SETH,Bharatiya Janata Party,664732,45.91,Won
Jharkhand,Ranchi,YASHASWINI SAHAY,Indian National Congress,544220,37.59,Lost
Jharkhand,Ranchi,DEVENDRA NATH MAHTO,Independent,132647,9.16,Lost
Jharkhand,Ranchi,SOMA SINGH,Jai Maha Bharath Party,10341,0.71,Lost
Jharkhand,Ranchi,NIPU SINGH,Rashtriya Jansangharsh Swaraj Party,7803,0.54,Lost
Jharkhand,Ranchi,DHANANJAY BHAGAT “GANDHI“,Mera Adhikaar Rashtriya Dal,6799,0.47,Lost
Jharkhand,Ranchi,SHYAM  BIHARI PRAJAPATI,Bhagidari Party(P),6530,0.45,Lost
Jharkhand,Ranchi,MANOJ KUMAR,Bahujan Samaj Party,6427,0.44,Lost
Jharkhand,Ranchi,RAMHARI GOPE,Ambedkarite Party of India,6309,0.44,Lost
Jharkhand,Ranchi,ANJANI PANDEY,Independent,5397,0.37,Lost
Jharkhand,Ranchi,SARWESHWARI SAHU,Ekam Sanatan Bharat Dal,4802,0.33,Lost
Jharkhand,Ranchi,HARINATH SAHU,Lokhit Adhikar Party,4136,0.29,Lost
Jharkhand,Ranchi,HEMNTI DEVI,Samata Party,4080,0.28,Lost
Jharkhand,Ranchi,RANJANA GIRI,Republican Party of India (A),3208,0.22,Lost
Jharkhand,Ranchi,BIRENDRA NATH MANJHI,Abua Jharkhand Party,3155,0.22,Lost
Jharkhand,Ranchi,DHARMENDRA TIWARY,Bhartiya Jantantra Morcha,3094,0.21,Lost
Jharkhand,Ranchi,PRAWEEN KACHHAP,Sampoorna Bharat Kranti Party,2944,0.2,Lost
Jharkhand,Ranchi,PRABEEN CHANDRA MAHATO,Independent,2859,0.2,Lost
Jharkhand,Ranchi,SANTOSH KUMAR JAISWAL,Independent,2787,0.19,Lost
Jharkhand,Ranchi,PANKAJ KUMAR RAVI,Peoples Party of India (Democratic),2763,0.19,Lost
Jharkhand,Ranchi,MANORANJAN BHATTACHARYA,Independent,2539,0.18,Lost
Jharkhand,Ranchi,AINUL ANSARI,Independent,2537,0.18,Lost
Jharkhand,Ranchi,BINOD ORAON,Bahujan Mukti Party,2589,0.18,Lost
Jharkhand,Ranchi,MINTU PASWAN,Socialist Unity Centre Of India (COMMUNIST),2164,0.15,Lost
Jharkhand,Ranchi,KOLESHWAR MAHTO,Independent,1708,0.12,Lost
Jharkhand,Ranchi,KAMESHWAR PRASAD SAW,Independent,1646,0.11,Lost
Jharkhand,Ranchi,ARSHAD AYUB,Independent,1412,0.1,Lost
Jharkhand,Ranchi,NOTA,None of the Above,8153,0.56,Lost
Jharkhand,Singhbhum,JOBA MAJHI,Jharkhand Mukti Morcha,520164,51.62,Won
Jharkhand,Singhbhum,GEETA KORA,Bharatiya Janata Party,351762,34.91,Lost
Jharkhand,Singhbhum,DAMODAR SINGH HANSDA,Independent,44292,4.4,Lost
Jharkhand,Singhbhum,MADHAV CHANDRA KUNKAL,Independent,19834,1.97,Lost
Jharkhand,Singhbhum,SANGRAM MARDI,Independent,16111,1.6,Lost
Jharkhand,Singhbhum,PARDESHI LAL MUNDA,Bahujan Samaj Party,8742,0.87,Lost
Jharkhand,Singhbhum,DURGA LAL MURMU,Independent,4924,0.49,Lost
Jharkhand,Singhbhum,CHITRASEN SINKU,Jharkhand Party,3210,0.32,Lost
Jharkhand,Singhbhum,BISHWA VIJAY MARDI,Ambedkarite Party of India,3070,0.3,Lost
Jharkhand,Singhbhum,ASHA KUMARI RUNDA,Independent,2754,0.27,Lost
Jharkhand,Singhbhum,KRISHNA MARDI,Jharkhand Mukti Morcha  (Ulgulan),2615,0.26,Lost
Jharkhand,Singhbhum,SUDHA RANI BESRA,Peoples Party of India (Democratic),2409,0.24,Lost
Jharkhand,Singhbhum,BIR SINGH DEOGAM,Right to Recall Party,1927,0.19,Lost
Jharkhand,Singhbhum,PANMANI SINGH,Socialist Unity Centre Of India (COMMUNIST),1801,0.18,Lost
Jharkhand,Singhbhum,NOTA,None of the Above,23982,2.38,Lost
Karnataka,Bagalkot,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,671039,50.93,Won
Karnataka,Bagalkot,SAMYUKTA SHIVANAND PATIL,Indian National Congress,602640,45.74,Lost
Karnataka,Bagalkot,NAGARAJ. S. KALKUTAGAR,Independent,5629,0.43,Lost
Karnataka,Bagalkot,PARASHURAM. LAXMAN. NEELANAIK,Independent,5090,0.39,Lost
Karnataka,Bagalkot,ANTHOSH SAVVASE,Uttama Prajaakeeya Party,4923,0.37,Lost
Karnataka,Bagalkot,JYOTI GULEDGUDDA,Independent,4645,0.35,Lost
Karnataka,Bagalkot,M. B. SIDAGONI,Bahujan Samaj Party,4479,0.34,Lost
Karnataka,Bagalkot,DR. MUTTU. S. SURAKOD. (MADAR),Independent,3135,0.24,Lost
Karnataka,Bagalkot,PRASHANT RAO,Independent,1914,0.15,Lost
Karnataka,Bagalkot,DATTATREYA DASHARATHA TAVARE,Independent,1620,0.12,Lost
Karnataka,Bagalkot,AMBROSE D' MELLO,Independent,1205,0.09,Lost
Karnataka,Bagalkot,KENGANAL. MALLIKARJUN. BHIMAPPA,Independent,1207,0.09,Lost
Karnataka,Bagalkot,MALLIKARJUN H. T.,Socialist Unity Centre Of India (COMMUNIST),1144,0.09,Lost
Karnataka,Bagalkot,RAJESAB BURANSAB. MASALI,Independent,992,0.08,Lost
Karnataka,Bagalkot,SHARANAPPA MALLAPPA KOTLANNAVAR,Independent,832,0.06,Lost
Karnataka,Bagalkot,RAVI SHIVAPPA PADASALAGI,Independent,656,0.05,Lost
Karnataka,Bagalkot,SAIYYAD IMAMSAB JAKALI,Tipu Sultan Party,550,0.04,Lost
Karnataka,Bagalkot,ABDULAZIZ KALADAGI PENDARI,Independent,529,0.04,Lost
Karnataka,Bagalkot,MUTTAPPA MUDAKAPPA HIREKUMBI,Raita Bharat Party,518,0.04,Lost
Karnataka,Bagalkot,SAGAR. BASAPPA. KUMBAR,Karnataka Rashtra Samithi,499,0.04,Lost
Karnataka,Bagalkot,S. M. MARIGOUDAR,Desh Prem Party,454,0.03,Lost
Karnataka,Bagalkot,SHANKAR. VENKAPPA. NAIKAR.,Republican Party of India (A),441,0.03,Lost
Karnataka,Bagalkot,NOTA,None of the Above,3420,0.26,Lost
Karnataka,Bangalore central,P C MOHAN,Bharatiya Janata Party,658915,50.05,Won
Karnataka,Bangalore central,MANSOOR ALI KHAN,Indian National Congress,626208,47.57,Lost
Karnataka,Bangalore central,SATISH CHANDRA. M.,Bahujan Samaj Party,3087,0.23,Lost
Karnataka,Bangalore central,JAYALAKSHMI SUNDARA RAJAN,Independent,2761,0.21,Lost
Karnataka,Bangalore central,SURESH BABU. M. C,Uttama Prajaakeeya Party,1739,0.13,Lost
Karnataka,Bangalore central,K. MANJUNATHA,Independent,1556,0.12,Lost
Karnataka,Bangalore central,S. M. KRISHNA,Independent,1474,0.11,Lost
Karnataka,Bangalore central,MURUGESH. R,Independent,1162,0.09,Lost
Karnataka,Bangalore central,UMA. V.,Independent,827,0.06,Lost
Karnataka,Bangalore central,PRAKASH. K,Karnataka Rashtra Samithi,779,0.06,Lost
Karnataka,Bangalore central,H. P. SHIVAPRAKASH,Socialist Unity Centre Of India (COMMUNIST),707,0.05,Lost
Karnataka,Bangalore central,MODI SAIFULLA,Independent,695,0.05,Lost
Karnataka,Bangalore central,ABHAYA SHEELA.,Rashtriya Samaj Dal (R),635,0.05,Lost
Karnataka,Bangalore central,KARTHIK. K,Voters Independent Party,601,0.05,Lost
Karnataka,Bangalore central,T.R. JAGANNATHA RAO,Bharatiya Prajagala Kalyana Paksha,460,0.03,Lost
Karnataka,Bangalore central,VASANTH KUMAR ERAPPA,Independent,439,0.03,Lost
Karnataka,Bangalore central,C.M. SHABAZ KHAN,Young Star Empowerment Party,429,0.03,Lost
Karnataka,Bangalore central,WHITEFIELD MURUGESH .C,Republican Party of India (Karnataka),378,0.03,Lost
Karnataka,Bangalore central,B. KRISHNA PRASAD,"Proutist Bloc, India",327,0.02,Lost
Karnataka,Bangalore central,MUKTHAR ALI KHAN,Karnataka Karmikara Paksha,314,0.02,Lost
Karnataka,Bangalore central,SYED ASIF BUKHARI,Independent,286,0.02,Lost
Karnataka,Bangalore central,RANJITH VISHWA,Samajwadi Janata Party(Karnataka),274,0.02,Lost
Karnataka,Bangalore central,RUMAN SHARIFFE,Independent,171,0.01,Lost
Karnataka,Bangalore central,YALLAPPA.,Independent,160,0.01,Lost
Karnataka,Bangalore central,NOTA,None of the Above,12126,0.92,Lost
Karnataka,Bangalore North,SHOBHA KARANDLAJE,Bharatiya Janata Party,986049,56.27,Won
Karnataka,Bangalore North,PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,726573,41.46,Lost
Karnataka,Bangalore North,GOVINDAIAH,Bahujan Samaj Party,4631,0.26,Lost
Karnataka,Bangalore North,SANTHOSH M,Uttama Prajaakeeya Party,3461,0.2,Lost
Karnataka,Bangalore North,UDAYA SHANKAR.G,Prahar Janshakti Party,2678,0.15,Lost
Karnataka,Bangalore North,LAKSHMI SRIHARI.J.N.,Independent,2094,0.12,Lost
Karnataka,Bangalore North,DILIP KUMAR I.S.,Independent,1903,0.11,Lost
Karnataka,Bangalore North,K.M.MAHADEVA,Independent,1720,0.1,Lost
Karnataka,Bangalore North,K.V.NANJUNDASWAMY,Independent,1365,0.08,Lost
Karnataka,Bangalore North,SHOBHA,Independent,1280,0.07,Lost
Karnataka,Bangalore North,Y.R.KALLESHWARI,Samajwadi Janata Party(Karnataka),1077,0.06,Lost
Karnataka,Bangalore North,NIRMALA H.L,Socialist Unity Centre Of India (COMMUNIST),977,0.06,Lost
Karnataka,Bangalore North,H.R.NATARAJ,Independent,861,0.05,Lost
Karnataka,Bangalore North,BHASKAR ANKALAMADUGU SHIVAREDDY,Independent,831,0.05,Lost
Karnataka,Bangalore North,SHIVAKUMAR. B,Karnataka Rashtra Samithi,817,0.05,Lost
Karnataka,Bangalore North,SUDHA.  V,Independent,657,0.04,Lost
Karnataka,Bangalore North,KRISHNAIAH,Rashtriya Samaj Dal (R),559,0.03,Lost
Karnataka,Bangalore North,HEBBAL VENKATESH.J,Republican Party of India (A),425,0.02,Lost
Karnataka,Bangalore North,"GLOBE STAR J. JAI SIMHA VARMA, B E.",Gareeb Aadmi Party,359,0.02,Lost
Karnataka,Bangalore North,SHOBAN BABU  V,Indian Labour Party (Ambedkar Phule),320,0.02,Lost
Karnataka,Bangalore North,PARASAPPA BHEEMAPPA GAJJERI,Rani Chennamma Party,313,0.02,Lost
Karnataka,Bangalore North,NOTA,None of the Above,13554,0.77,Lost
Karnataka,Bangalore Rural,DR C N MANJUNATH,Bharatiya Janata Party,1079002,56.21,Won
Karnataka,Bangalore Rural,D K SURESH,Indian National Congress,809355,42.16,Lost
Karnataka,Bangalore Rural,ABHISHEK K,Uttama Prajaakeeya Party,6202,0.32,Lost
Karnataka,Bangalore Rural,SURESH M N,Independent,3236,0.17,Lost
Karnataka,Bangalore Rural,HEMAVATHI K,Socialist Unity Centre Of India (COMMUNIST),1774,0.09,Lost
Karnataka,Bangalore Rural,J T PRAKASH,Independent,1472,0.08,Lost
Karnataka,Bangalore Rural,N KRISHNAPPA,Pyramid Party of India,1402,0.07,Lost
Karnataka,Bangalore Rural,C N MANJUNATHA,Bahujan Bharat Party,1400,0.07,Lost
Karnataka,Bangalore Rural,KUMAR L,Bharatiya Prajagala Kalyana Paksha,1066,0.06,Lost
Karnataka,Bangalore Rural,MAHAMAD MUSADIK PASHA,Karnataka Rashtra Samithi,821,0.04,Lost
Karnataka,Bangalore Rural,NARASIMHAMURTHY J P,Independent,813,0.04,Lost
Karnataka,Bangalore Rural,SURESH S,Karunaadu Party,798,0.04,Lost
Karnataka,Bangalore Rural,VASIST J,Country Citizen Party,584,0.03,Lost
Karnataka,Bangalore Rural,MOHAMMAD DASTAGEER,Young Star Empowerment Party,486,0.03,Lost
Karnataka,Bangalore Rural,H V CHANDRASHEKAR,Viduthalai Chiruthaigal Katchi,480,0.03,Lost
Karnataka,Bangalore Rural,NOTA,None of the Above,10649,0.55,Lost
Karnataka,Bangalore South,TEJASVI SURYA,Bharatiya Janata Party,750830,60.1,Won
Karnataka,Bangalore South,SOWMYA REDDY,Indian National Congress,473747,37.92,Lost
Karnataka,Bangalore South,ARUN PRASAD.A,Bahujan Samaj Party,2425,0.19,Lost
Karnataka,Bangalore South,TINTISHA HEMACHANDRA SAGAR,Independent,1968,0.16,Lost
Karnataka,Bangalore South,VATAL NAGARAJ,Kannada Chalavali Vatal Paksha,1867,0.15,Lost
Karnataka,Bangalore South,KEMPEGOWDA,Navabharath Sena,1393,0.11,Lost
Karnataka,Bangalore South,TEJASWINI DHANANJAY,Independent,1150,0.09,Lost
Karnataka,Bangalore South,BALAKRISHNA.M.,Uttama Prajaakeeya Party,1110,0.09,Lost
Karnataka,Bangalore South,JAYAPAL.D,Independent,942,0.08,Lost
Karnataka,Bangalore South,RANJITH GOWDA,Independent,860,0.07,Lost
Karnataka,Bangalore South,V.RAJKUMAR VCK,Independent,740,0.06,Lost
Karnataka,Bangalore South,RAGHUPATHI BHAT,Karnataka Rashtra Samithi,738,0.06,Lost
Karnataka,Bangalore South,DR HARISH GOWDA,Independent,563,0.05,Lost
Karnataka,Bangalore South,CHETAN CHAMAN,Country Citizen Party,492,0.04,Lost
Karnataka,Bangalore South,A . RAJ.,Independent,477,0.04,Lost
Karnataka,Bangalore South,K. C. JANARDHAN,Independent,452,0.04,Lost
Karnataka,Bangalore South,KANTHAKUMAR.R.,Independent,403,0.03,Lost
Karnataka,Bangalore South,KARAVALI MANJUNATH. BE,Rashtriya Samaj Dal (R),310,0.02,Lost
Karnataka,Bangalore South,C M. SHABAZ KHAN,Young Star Empowerment Party,297,0.02,Lost
Karnataka,Bangalore South,ASGAR A MOHIN.S.M.,Independent,269,0.02,Lost
Karnataka,Bangalore South,SUBRAHMANYA KUMAR KUNTIKANAMATA,Independent,237,0.02,Lost
Karnataka,Bangalore South,DR.R.SHEKAR THIRUMAVALVAN,Independent,215,0.02,Lost
Karnataka,Bangalore South,NOTA,None of the Above,7857,0.63,Lost
Karnataka,Belgaum,JAGADISH SHETTAR,Bharatiya Janata Party,762029,55.06,Won
Karnataka,Belgaum,MRINAL R HEBBALKAR,Indian National Congress,583592,42.17,Lost
Karnataka,Belgaum,MAHADEV PATIL,Independent,9503,0.69,Lost
Karnataka,Belgaum,BASAPPA GURUSIDDAPPA KUMBAR,Karnataka Rashtra Samithi,5441,0.39,Lost
Karnataka,Belgaum,ASHOK APPAYA APPUGOL,Bahujan Samaj Party,4407,0.32,Lost
Karnataka,Belgaum,RAVI SHIVAPPA PADASALAGI,Independent,3926,0.28,Lost
Karnataka,Belgaum,VIJAY S METHRANI,Independent,2808,0.2,Lost
Karnataka,Belgaum,PRAJAAKEEYA MALLAPPA CHOGALA (PREM),Uttama Prajaakeeya Party,1433,0.1,Lost
Karnataka,Belgaum,LAXMAN JADAGANNAVAR,Socialist Unity Centre Of India (COMMUNIST),1302,0.09,Lost
Karnataka,Belgaum,NITIN ASHOK MHADAGUT,Independent,1310,0.09,Lost
Karnataka,Belgaum,PUNDALIK ITNAL,Independent,1099,0.08,Lost
Karnataka,Belgaum,ASHOK P HANAJI,Independent,679,0.05,Lost
Karnataka,Belgaum,ASHPAKAHMAD USTAD,Independent,634,0.05,Lost
Karnataka,Belgaum,NOTA,None of the Above,5726,0.41,Lost
Karnataka,Bellary,E. TUKARAM,Indian National Congress,730845,52.58,Won
Karnataka,Bellary,B. SREERAMULU,Bharatiya Janata Party,631853,45.46,Lost
Karnataka,Bellary,VALMIKI KRISHNAPPA,Bahujan Samaj Party,5911,0.43,Lost
Karnataka,Bellary,C. CHANNAVEERA,Karnataka Rashtra Samithi,3797,0.27,Lost
Karnataka,Bellary,CONDUCTOR PAMPAPATHI,Independent,2460,0.18,Lost
Karnataka,Bellary,VEERESH,Independent,1870,0.13,Lost
Karnataka,Bellary,A. DEVADAS,Socialist Unity Centre Of India (COMMUNIST),1741,0.13,Lost
Karnataka,Bellary,MANJUNATHA GOSAL,Prahar Janshakti Party,1322,0.1,Lost
Karnataka,Bellary,ARUN.S.HIREHAL,Independent,1282,0.09,Lost
Karnataka,Bellary,G. SWAMY,Navabharath Sena,944,0.07,Lost
Karnataka,Bellary,NOTA,None of the Above,7889,0.57,Lost
Karnataka,Bidar,SAGAR ESHWAR KHANDRE,Indian National Congress,666317,53.63,Won
Karnataka,Bidar,BHAGWANTH KHUBA,Bharatiya Janata Party,537442,43.26,Lost
Karnataka,Bidar,AMBADAS SOPANRAO HULSURE,Bahujan Bharat Party,5302,0.43,Lost
Karnataka,Bidar,PUTARAJ,Bahujan Samaj Party,4554,0.37,Lost
Karnataka,Bidar,DR. DINKAR MORE,Independent,4116,0.33,Lost
Karnataka,Bidar,SRI ROPH ABDUL GANI,Independent,3104,0.25,Lost
Karnataka,Bidar,SHIVRAJ ADIVEPPA SATWAR,Independent,3079,0.25,Lost
Karnataka,Bidar,RAMVILAS RAMULALJI NAVANDAR,Independent,2694,0.22,Lost
Karnataka,Bidar,RIYAZ AHMED,Independent,1711,0.14,Lost
Karnataka,Bidar,MOHD. SHAFEEQ UR RAHAMAN,All India Ulama Congress,1694,0.14,Lost
Karnataka,Bidar,JAIRAJ KASHAPPA BUKKA ADVOCATE,Independent,1493,0.12,Lost
Karnataka,Bidar,BALBHEEM UNNE,Independent,1470,0.12,Lost
Karnataka,Bidar,WASEEMUDDIN,Independent,1170,0.09,Lost
Karnataka,Bidar,MAHESH GORNALKAR,Republican Party of India (A),981,0.08,Lost
Karnataka,Bidar,DILIP KADWAD,Independent,798,0.06,Lost
Karnataka,Bidar,GOPAL M.P. GARAMPALLI,Independent,767,0.06,Lost
Karnataka,Bidar,RAMESH J CHAVAN,Karnataka Rashtra Samithi,472,0.04,Lost
Karnataka,Bidar,RAMCHANDRA NARAYAN KACHAVE,Kranti Kari Jai Hind Sena,472,0.04,Lost
Karnataka,Bidar,NOTA,None of the Above,4686,0.38,Lost
Karnataka,Bijapur,RAMESH JIGAJINAGI,Bharatiya Janata Party,672781,51.91,Won
Karnataka,Bijapur,RAJU ALAGUR.,Indian National Congress,595552,45.95,Lost
Karnataka,Bijapur,GANAPATI  RATHOD (HANJAGI),Karnataka Rashtra Samithi,7691,0.59,Lost
Karnataka,Bijapur,BHOVI TARABAI,Independent,4353,0.34,Lost
Karnataka,Bijapur,RAMJI YAMANAPPA BUDDHAPRIYA,Naki Bharatiya Ekta Party,2426,0.19,Lost
Karnataka,Bijapur,NAGAJYOTI.B.N.,Socialist Unity Centre Of India (COMMUNIST),2392,0.18,Lost
Karnataka,Bijapur,RAJAKUMAR APPANNA HONNAKATTI,Rashtriya Samaj Paksha,1794,0.14,Lost
Karnataka,Bijapur,JITENDRA.ASHOK. KAMBLE,Republican Party of India (A),1623,0.13,Lost
Karnataka,Bijapur,NOTA,None of the Above,7502,0.58,Lost
Karnataka,Chamarajanagar,SUNIL BOSE,Indian National Congress,751671,54.87,Won
Karnataka,Chamarajanagar,BALARAJ.S,Bharatiya Janata Party,562965,41.1,Lost
Karnataka,Chamarajanagar,M.KRISHNA MURTHY,Bahujan Samaj Party,15903,1.16,Lost
Karnataka,Chamarajanagar,C.M.KRISHNA,Dr. Ambedkar People's Party,8089,0.59,Lost
Karnataka,Chamarajanagar,G.D.RAJAGOPAL (H.D.KOTE),Independent,3954,0.29,Lost
Karnataka,Chamarajanagar,SUMA.S,Socialist Unity Centre Of India (COMMUNIST),3826,0.28,Lost
Karnataka,Chamarajanagar,MAHADEVASWAMY B M (PAMPI),Independent,3421,0.25,Lost
Karnataka,Chamarajanagar,H.K.SWAMY HARADANAHALLI,Independent,3208,0.23,Lost
Karnataka,Chamarajanagar,PATAS PRADEEP KUMAR.M,Independent,1986,0.14,Lost
Karnataka,Chamarajanagar,KADAMBA. NAA. AMBARISH,Independent,1743,0.13,Lost
Karnataka,Chamarajanagar,NINGARAJU.S,Karnataka Jantha Paksha,1411,0.1,Lost
Karnataka,Chamarajanagar,KANDALLI MAHESH,Karnataka Rashtra Samithi,1252,0.09,Lost
Karnataka,Chamarajanagar,NINGARAJ.G,Independent,1247,0.09,Lost
Karnataka,Chamarajanagar,PRASANNA KUMAR.B,Karnataka Praja Party (RaithaParva),978,0.07,Lost
Karnataka,Chamarajanagar,NOTA,None of the Above,8143,0.59,Lost
Karnataka,Chikkballapur,DR.K.SUDHAKAR,Bharatiya Janata Party,822619,53.74,Won
Karnataka,Chikkballapur,M.S. RAKSHA RAMAIAH,Indian National Congress,659159,43.06,Lost
Karnataka,Chikkballapur,MUNIVENKATAPPA M.P,Communist Party of India  (Marxist),4557,0.3,Lost
Karnataka,Chikkballapur,MAHADEV. P,Bahujan Samaj Party,4440,0.29,Lost
Karnataka,Chikkballapur,RAJANNA,Independent,3764,0.25,Lost
Karnataka,Chikkballapur,RAJA REDDY,Independent,3381,0.22,Lost
Karnataka,Chikkballapur,KALAVATHI. N,Socialist Unity Centre Of India (COMMUNIST),2744,0.18,Lost
Karnataka,Chikkballapur,VALASAPALLI UTAPPA,Independent,2162,0.14,Lost
Karnataka,Chikkballapur,VENKATESHMURTHY.V,Uttama Prajaakeeya Party,2020,0.13,Lost
Karnataka,Chikkballapur,D. SUDHAKARA,Independent,1689,0.11,Lost
Karnataka,Chikkballapur,SUDHAKAR. N,Independent,1591,0.1,Lost
Karnataka,Chikkballapur,G N RAVI,Independent,1465,0.1,Lost
Karnataka,Chikkballapur,BHASKAR ANKALAMADUGU SHIVAREDDY,Independent,1367,0.09,Lost
Karnataka,Chikkballapur,CHANDRASHEKAR. H.C,Independent,1282,0.08,Lost
Karnataka,Chikkballapur,MOHITH NARASIMHAMURTHY,Independent,1229,0.08,Lost
Karnataka,Chikkballapur,V.N. NARASIMHAMURTHY VADIGERE,Independent,1218,0.08,Lost
Karnataka,Chikkballapur,G.N. VENKATESH B.A.L.L.B,Independent,1207,0.08,Lost
Karnataka,Chikkballapur,DEVARAJ CORONA WARRIOR,Independent,1177,0.08,Lost
Karnataka,Chikkballapur,G SUBRAMANI SHETTY,Karnataka Rashtra Samithi,872,0.06,Lost
Karnataka,Chikkballapur,DR. M.R. RANGANATHA,Independent,857,0.06,Lost
Karnataka,Chikkballapur,NAGESH. S,Digvijaya Bharatha Party,850,0.06,Lost
Karnataka,Chikkballapur,T.R. NARAYANA RAO,Indian Labour Party (Ambedkar Phule),762,0.05,Lost
Karnataka,Chikkballapur,"C.V.  LOKESH GOWDA, B.E",Independent,701,0.05,Lost
Karnataka,Chikkballapur,D. CHINNAPPA,Independent,619,0.04,Lost
Karnataka,Chikkballapur,SANDESH.G,Independent,594,0.04,Lost
Karnataka,Chikkballapur,NASURULLA,Independent,583,0.04,Lost
Karnataka,Chikkballapur,K. VENKATESH,Independent,474,0.03,Lost
Karnataka,Chikkballapur,T VENKATA SIVUDU,Independent,440,0.03,Lost
Karnataka,Chikkballapur,G N. KODANDAREDDY,Independent,401,0.03,Lost
Karnataka,Chikkballapur,NOTA,None of the Above,6596,0.43,Lost
Karnataka,Chikkodi,PRIYANKA SATISH JARKIHOLI,Indian National Congress,713461,51.21,Won
Karnataka,Chikkodi,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,622627,44.69,Lost
Karnataka,Chikkodi,KALLOLIKAR SHAMBHU KRISHNA,Independent,25466,1.83,Lost
Karnataka,Chikkodi,SAMMED SARADAR VARDHAMANE,Independent,5353,0.38,Lost
Karnataka,Chikkodi,SHRENIK ANNASAHEB JANGATE,Independent,5181,0.37,Lost
Karnataka,Chikkodi,APPASAHEB SHRIPATI KURANE,Sarva Janata Party,4654,0.33,Lost
Karnataka,Chikkodi,VILAS MANNUR,Independent,4150,0.3,Lost
Karnataka,Chikkodi,SATTEPPA DASHARATH KALELI,Bharatheeya Jawan Kisan Party,1319,0.09,Lost
Karnataka,Chikkodi,YASIN SHIRAJUDDIN PATAKI,Independent,1281,0.09,Lost
Karnataka,Chikkodi,KASHINATH KALLAPPA KURANI,Independent,1108,0.08,Lost
Karnataka,Chikkodi,MAHESH ASHOK KASAR,Independent,1009,0.07,Lost
Karnataka,Chikkodi,MOHAN GURAPPA MOTANNAVAR,Independent,946,0.07,Lost
Karnataka,Chikkodi,KUMAR SAMBHAJI DONGARE,Karnataka Rashtra Samithi,941,0.07,Lost
Karnataka,Chikkodi,PAVANKUMAR BABURAV MALAGE,Bahujan Bharat Party,666,0.05,Lost
Karnataka,Chikkodi,DR|| KADAYYA HIREMATH (SWAMIJI),Independent,647,0.05,Lost
Karnataka,Chikkodi,BHIMASEN DATTU SANADI,Independent,619,0.04,Lost
Karnataka,Chikkodi,GAJANAN L. PUJARI,Independent,600,0.04,Lost
Karnataka,Chikkodi,JITENDRA SUBHASH NERLE,Independent,457,0.03,Lost
Karnataka,Chikkodi,NOTA,None of the Above,2608,0.19,Lost
Karnataka,Chitradurga,GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,684890,50.11,Won
Karnataka,Chitradurga,B.N.CHANDRAPPA,Indian National Congress,636769,46.58,Lost
Karnataka,Chitradurga,ASHOKA CHAKRAVARTHI,Bahujan Samaj Party,7705,0.56,Lost
Karnataka,Chitradurga,NARASIMHARAJU. C.N.,Karnataka Rashtra Samithi,4950,0.36,Lost
Karnataka,Chitradurga,SRINIVASAPURADA SRINIVASABABU PAVAGADA,Independent,4548,0.33,Lost
Karnataka,Chitradurga,"B. VENKATESHA, SHILPI",Independent,4201,0.31,Lost
Karnataka,Chitradurga,MANJUNATHA SWAMY T,Independent,2676,0.2,Lost
Karnataka,Chitradurga,BHUTHARAJA. V.S.,Independent,2397,0.18,Lost
Karnataka,Chitradurga,RAGHU KUMAR .S,Independent,2337,0.17,Lost
Karnataka,Chitradurga,RAMESH NAIK .T.,Uttama Prajaakeeya Party,2206,0.16,Lost
Karnataka,Chitradurga,NAGARAJAPPA,Independent,1679,0.12,Lost
Karnataka,Chitradurga,K  NARASHIMAMURTHY,Independent,1397,0.1,Lost
Karnataka,Chitradurga,SUDHAKARA .R,Independent,1211,0.09,Lost
Karnataka,Chitradurga,TULASI.H,Independent,1082,0.08,Lost
Karnataka,Chitradurga,GANESH.,Independent,1093,0.08,Lost
Karnataka,Chitradurga,SHABAREESH.,Karunada Sevakara Party,1018,0.07,Lost
Karnataka,Chitradurga,SUJATHA .D.,Socialist Unity Centre Of India (COMMUNIST),1014,0.07,Lost
Karnataka,Chitradurga,DR M.P. DARAKESWARAIAH,Independent,992,0.07,Lost
